COCO	0.75
EMMT	0.58
CoLA	0.59
anaphor_gender_agreement	0.68
anaphor_number_agreement	0.63
determiner_noun_agreement_1	0.45
determiner_noun_agreement_2	0.31
determiner_noun_agreement_irregular_1	0.55
determiner_noun_agreement_irregular_2	0.38
determiner_noun_agreement_with_adj_2	0.46
determiner_noun_agreement_with_adjective_1	0.38
determiner_noun_agreement_with_adj_irregular_1	0.39
determiner_noun_agreement_with_adj_irregular_2	0.37
distractor_agreement_relational_noun	0.55
distractor_agreement_relative_clause	0.46
irregular_past_participle_adjectives	1.0
irregular_past_participle_verbs	1.0
irregular_plural_subject_verb_agreement_1	0.48
irregular_plural_subject_verb_agreement_2	0.51
regular_plural_subject_verb_agreement_1	0.64
regular_plural_subject_verb_agreement_2	0.51
existential_there_quantifiers_1	1.0
existential_there_quantifiers_2	0.33
matrix_question_npi_licensor_present	0.34
npi_present_1	1.0
npi_present_2	1.0
only_npi_licensor_present	1.0
sentential_negation_npi_licensor_present	1.0
superlative_quantifiers_1	1.0
superlative_quantifiers_2	1.0
adjunct_island	0.31
animate_subject_passive	0.99
animate_subject_trans	0.79
causative	0.89
complex_NP_island	0.27
coordinate_structure_constraint_complex_left_branch	0.22
coordinate_structure_constraint_object_extraction	0.68
drop_argument	0.99
ellipsis_n_bar_1	0.27
ellipsis_n_bar_2	0.87
inchoative	0.93
intransitive	0.91
left_branch_island_echo_question	0.32
left_branch_island_simple_question	0.26
passive_1	0.97
passive_2	0.99
sentential_subject_island	0.26
transitive	0.82
wh_island	1.0
wh_questions_object_gap	1.0
wh_questions_subject_gap	1.0
wh_questions_subject_gap_long_distance	1.0
wh_vs_that_no_gap	1.0
wh_vs_that_no_gap_long_distance	1.0
wh_vs_that_with_gap	1.0
wh_vs_that_with_gap_long_distance	1.0
existential_there_object_raising	0.98
existential_there_subject_raising	0.98
expletive_it_object_raising	0.93
only_npi_scope	0.23
principle_A_case_1	1.0
principle_A_case_2	0.99
principle_A_c_command	0.79
principle_A_domain_1	1.0
principle_A_domain_2	0.72
principle_A_domain_3	0.29
principle_A_reconstruction	0.3
sentential_negation_npi_scope	0.25
tough_vs_raising_1	1.0
tough_vs_raising_2	1.0
data	0.82
data	0.82
data	0.82
data	0.82
data	0.82
data	0.82
data	0.82
data	0.82
data	0.58
data	0.58
data	0.58
data	0.58
